epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,9132.72,0.67777,0.22894,0.03131,0.05749,0.95377,0.93139,0.9541,0.77231,0.80989,0.43076,0.02309,0.05371,3.9264e-05,3.9264e-05,3.9264e-05
91,9235.75,0.69161,0.22748,0.03356,0.05224,0.97358,0.92163,0.95643,0.7753,0.80943,0.40878,0.02313,0.05506,3.4227e-05,3.4227e-05,3.4227e-05
92,9337.04,0.65888,0.21538,0.03058,0.05222,0.97938,0.90963,0.9575,0.77726,0.80294,0.42109,0.02312,0.05461,2.96546e-05,2.96546e-05,2.96546e-05
93,9437.87,0.65958,0.21956,0.0305,0.0562,0.96481,0.92711,0.95484,0.77638,0.8054,0.4073,0.02318,0.05483,2.55513e-05,2.55513e-05,2.55513e-05
94,9537.87,0.67061,0.2096,0.03321,0.05563,0.95416,0.93137,0.95591,0.77713,0.80758,0.42196,0.02326,0.05405,2.19212e-05,2.19212e-05,2.19212e-05
95,9638.3,0.64674,0.20876,0.02936,0.05576,0.95112,0.93539,0.95446,0.77592,0.80316,0.4222,0.02313,0.05242,1.87678e-05,1.87678e-05,1.87678e-05
96,9739.29,0.66794,0.21621,0.03058,0.05662,0.9719,0.92183,0.95507,0.78181,0.80105,0.41521,0.02313,0.05372,1.60943e-05,1.60943e-05,1.60943e-05
97,9841.54,0.66711,0.23909,0.03199,0.05545,0.94859,0.9345,0.95453,0.77773,0.80126,0.4204,0.02323,0.05258,1.39032e-05,1.39032e-05,1.39032e-05
98,9942.54,0.66032,0.22567,0.03332,0.05169,0.96402,0.92567,0.9556,0.77789,0.80725,0.41765,0.0232,0.05549,1.21968e-05,1.21968e-05,1.21968e-05
99,10043.5,0.67711,0.24668,0.03272,0.05537,0.96397,0.9226,0.95342,0.77694,0.80331,0.4248,0.02319,0.05351,1.09768e-05,1.09768e-05,1.09768e-05
100,10144.6,0.66872,0.22015,0.03145,0.05676,0.95482,0.9338,0.95313,0.77642,0.79906,0.42847,0.02307,0.05355,1.02443e-05,1.02443e-05,1.02443e-05
